Nom_entreprise,Dirigeant_Gerant,Email_Pro,Ville,Province,Site_Web,Telephone,Taille_Estimee,Specialites,Annee_Creation,Note_Qualite,Source_URL
FAUTRÉ Didier (Difelec-Renov),Didier Fautré,difelec@skynet.be,Andenne,Namur,difelec-renov.be,0477 28 94 50,1,"PVC+alu Winsol, châssis/baies/volets",2004,tiède,https://difelec-renov.be/chassis-et-portes/
ESTIENNE Harry (Menuiserie du Lac Bambois),Harry Estienne,menuiserie@mlbambois.be,Fosses-la-Ville,Namur,mlbambois.be,0474 87 51 93,1,Menuiserie extérieure bois,2009,tiède,https://www.mlbambois.be/
Les Châssis de la Vallée,n.a.,hello@chassisdelavallee.be,Andenne,Namur,chassisdelavallee.be,+32 494 10 23 14,n.a. (TPE),"PVC/alu, portes, volets, pose",n.a.,à vérifier,https://www.chassisdelavallee.be/a-propos/
Ets TROISFONTAINES Christian et Fils SRL,Christian Troisfontaines,info@menuiserie-troisfontaines-liege.be,Chênée (Liège),Liège,menuiserie-troisfontaines-liege.be,04 365 46 09,TPE (micro),"Châssis bois & PVC (Schüco), fab.+pose",n.a.,tiède,https://www.menuiserie-troisfontaines-liege.be/mentions-legales/
LNS Châssis SRL,n.a.,lnschassis@skynet.be,Boncelles (Seraing),Liège,lnschassis.be,04 336 46 07,TPE,"PVC, alu, bois — pose",2009,tiède,https://www.lnschassis.be/contact/
A.M.S. Menuiserie,n.a.,n.a.,Seraing,Liège,amsmenuiserie.be,n.a.,TPE,Fabrication châssis bois/PVC/alu,n.a.,à vérifier,https://www.amsmenuiserie.be/chassis
Chassis Offermans SRL,n.a.,info@chassis-offermans.com,Trooz,Liège,chassis-offermans.com,04 229 79 09,6 ETP,"Bois, alu, PVC — fabrication alu + pose",1994,tiède,https://chassis-offermans.com/mentions-legales/
Châssis Delhez,n.a.,info@chassisdelhez.be,Trooz / Fléron / Visé,Liège,chassisdelhez.be,04 336 95 59,PME,"PVC/alu/bois, revendeur Pierret, pose",n.a.,tiède,https://chassisdelhez.be/contact/
ETS. STEPHANE ROBERT,Stéphane Robert,stephane@chassis-robert.be,Stembert (Verviers),Liège,chassis-robert.be,n.a.,TPE,Menuiserie ext. alu/bois/PVC,n.a.,chaud,https://byh-uat.embuild.be/fr/artisan/ets-stephane-robert/BE0476372740
Beaupain François SRL,François Beaupain,info@chassis-volets.be,Heusy (Verviers),Liège,chassis-volets.be,087 23 00 40,1 employé,"Châssis belges, volets, portes de garage",2003,tiède,https://chassis-volets.com/porte-de-garage-sectionnelle/heusy
Menuiserie Gillet Malmendier SRL,n.a.,info@gilletmalmendier.be,Verviers,Liège,gilletmalmendier.be,0495 21 16 48,5 employés,"Menuiserie/construction bois, châssis",2006,tiède,https://www.gilletmalmendier.be/mentions-legales
MGBO — Menuiserie Générale Beco Olivier,Olivier Beco,n.a.,Verviers,Liège,mgbo.be,n.a.,1–2,"Pose châssis bois/alu/PVC, volets",n.a.,à vérifier,https://www.mgbo.be/
Menuiserie Boulanger,n.a.,info@menuiserie-boulanger.be,Dison (Verviers/Spa/Theux),Liège,menuiserie-boulanger.be,+32 87 22 80 54,TPE,"Menuiserie ext./int., châssis sur mesure",n.a.,tiède,https://www.menuiserie-boulanger.be/contact/
Menuiserie Crucifix & Fils,n.a.,n.a.,Spa,Liège,menuiserie-crucifixetfils.be,n.a.,Entreprise individuelle,"Fab.+pose châssis, portes, baies vitrées",2000,à vérifier,https://www.menuiserie-crucifixetfils.be/
Menuiserie Générale Alain Rosen SRL,Alain Rosen,info@alain-rosen.be,Malmedy,Liège,alain-rosen.be,080 48 01 49,"~20 (à vérifier, proche/au-delà limite 15)","Châssis PVC/bois (Pierret), int./ext.",1998,tiède,https://showroom.pierret.net/15-alain-rosen-sprl
Har Solution SRL,n.a.,info@harsolution-chassis.be,Huy (+ Malmedy),Liège,harsolution-chassis.be,0495 90 19 01,TPE,Châssis PVC & alu (Profel Expert),n.a.,tiède,https://www.profel.com/fr-be/profel-expert/harsolution-huy
ADS Châssis,n.a.,n.a.,Huy,Liège,adschassis.be,0495 21 33 34,TPE familiale,"Fab. atelier+pose PVC/alu/bois, volets",n.a.,à vérifier,https://www.adschassis.be/
JSM Services,n.a.,commercial@jsmservices.be,Villers-le-Bouillet (Huy/Waremme),Liège,jsmservices.be,085 23 32 24,TPE,"Châssis PVC/alu, vérandas",n.a.,tiède,https://www.jsmservices.be/waremme/
Manu Potvin,Manu Potvin,info@manupotvin.be,Hannut (zone Waremme),Liège,manupotvin.be,0475 62 64 40,TPE,"Châssis PVC & alu, portes de garage, pergolas",n.a.,tiède,https://www.manupotvin.be/contact
Hertogen & Fils,n.a.,n.a.,Bassenge / Roclenge (zone Visé),Liège,menuiserie-hertogen.be,04 378 06 75,TPE familiale,"Châssis bois et PVC, fabrication+pose",1969,à vérifier,https://www.menuiserie-hertogen.be/contact
FT CHASSIS SRL,Franco Tribuzio (adm.),info@ftchassis.be,Marchienne-au-Pont (Charleroi),Hainaut,chassispvchainaut.be,071 54 30 39,~5 employés,"PVC, alu, bois — fab. atelier + pose",2008,tiède,https://www.chassispvchainaut.be/
WIN UP SRL (Win Châssis),Alain Lefèvre; Vincent Alzetta,contact@winchassis.be,Couillet (Charleroi),Hainaut,winchassis.be,071 43 44 30,TPE familiale,"PVC et alu: châssis, portes, volets roulants",1998,tiède,https://winchassis.be/contact/
MENUISERIE KENAN SRL,Kenan Sahin (gérant/fondateur),info@kenan.be,Charleroi,Hainaut,kenan.be,071 30 13 63,5 à 9 employés,"Châssis, portes, portes de garage, vérandas, pergolas",2009 (enseigne 1985),tiède,https://kenan.be/contact/
Menuiserie Toussaint,n.a.,info@menuiserietoussaint.be,Hyon (Mons),Hainaut,menuiserietoussaint.be,065 31 10 86,n.a. (PME familiale),"Châssis, portes, fenêtres, volets, pergolas",n.a. (+90 ans),tiède,https://www.menuiserietoussaint.be/
ETS GHILAIN SRL (Menuiserie Ghilain),n.a.,ets.ghilain@skynet.be,Cuesmes (Mons),Hainaut,menuiserie-ghilain.be,065 36 13 78,TPE artisanale,"Châssis sur mesure, vérandas, volets, portes de garage",1959,tiède,https://www.menuiserie-ghilain.be/
L'ATELIER DE MENUISERIE SRL (LADM),Pascal Ménart; Christophe Lecoutre,info@atelierdemenuiserie.be,Froidmont – Tournai,Hainaut,atelierdemenuiserie.be,+32 499 89 15 71,TPE,"Châssis PVC/bois/alu, portes, portes de garage, volets, vérandas",1995,tiède,https://www.atelierdemenuiserie.be/situation
CHASSIPLAST SRL,Geoffrey Devleeschauwer (adm.),info@chassiplast.be,Ath,Hainaut,chassiplast.be,068 28 31 21,10 employés,"Fabricant châssis, portes, coulissants PVC et alu",1984,tiède,https://chassiplast.be/
ALDO SA,Alain Vidts; Marie Respilleux,info@aldo.be,Ghislenghien – Ath,Hainaut,aldo.be,0475 96 35 96,10 employés,Fab. en hall: châssis et portes PVC/alu sur mesure,2002,tiède,https://www.aldo.be/
MENUISERIE DINAU SRL,Murphy Dinau (adm.),info@menuiserie-dinau.be,La Louvière (Haine-Saint-Paul),Hainaut,menuiserie-dinau.be,064 37 08 17,Micro ~5 ETP,"Châssis PVC/alu/bois, portes, volets, portes de garage",2012,tiède,https://www.menuiserie-dinau.be/
"Royal Menuiserie (Tuncel, Hasan)",Hasan Tuncel,info@royalmenuiserie.be,La Louvière,Hainaut,royal-menuiserie.be,0475 27 95 85,1–3 (artisan),"Châssis (pose/réparation), portes, fenêtres, bardage",2015,tiède,https://www.royal-menuiserie.be/
MENUI'DEAL SRL,Patrick Hochepied; Jonathan Hochepied,info@menuideal.be,Herseaux – Mouscron,Hainaut,menuideal.be,056 33 58 60,PME familiale,"Châssis PVC/bois/alu, bois/alu, baies vitrées, portes",1995 (+30 ans),tiède,https://menuideal.be/contact/
OPSOMER ET DELMOTTE SRL,Nadine Ramon (repr. permanente),info@opsomerdelmotte.com,Comines (Comines-Warneton),Hainaut,opsomerdelmotte.com,056 55 57 35,15 personnes,"Menuiseries extérieures: portes, fenêtres, volets",1968,tiède,https://www.opsomerdelmotte.com/
MENUITEC SRL,Céline Berlemont; Frédéric Dupong,info@menuitec.be,Binche (Épinois),Hainaut,menuitec.be,064 33 54 54,5 à 9 salariés,Menuiseries extérieures et protections solaires,1975,tiède,https://www.menuitec.be/
ART - CHASSIS SRL,Jean Delrue (adm.),jp@art-chassis.com,Binche,Hainaut,art-chassis.be,064 33 47 61,5 employés,"Châssis et fenêtres, vitrage Renson, portes de garage",1991,chaud,https://www.art-chassis.be/
PH DESMET DARDENNE SRL (Green Chassis),Maxime Desmet (adm.),info@greenchassis.be,Chimay,Hainaut,greenchassis.be,0478 23 12 52,TPE/PME,"Châssis, portes, bardage, protections solaires, CLT",1979 (société 2003),tiède,https://greenchassis.be/contact/
MENUISERIE QUERTINMONT FRANK SRL,Frank Quertinmont; Mickael Quertinmont,contact@menuiseriequertinmont.be,Thuin,Hainaut,menuiseriequertinmont.be,071 53 35 48,TPE familiale,"Châssis, portes, vérandas (+ sur-mesure)",2004 (+30 ans),tiède,https://www.menuiseriequertinmont.be/contact
"Guillaume, Julien (Menuiserie Guillaume)",Julien Guillaume,info@guillaumemenuiserie.be,Baileux – Chimay,Hainaut,guillaumemenuiserie.be,0497 86 91 49,1–3 (artisan),"Portes, châssis, menuiserie extérieure (+ ébénisterie)",2017,tiède,https://www.guillaumemenuiserie.be/05-portes-chassis-chimay-couvin.html
CHASSIS HOME SERVICES SRL,Olivier Batlle; Florence Gilbert,florence.batlle@chassishomeservices.be,Soignies,Hainaut,chassishomeservices.be,0477 51 30 61,10 employés,"Menuiseries extérieures alu/bois/PVC (Finstral), portes de garage, volets",2010,chaud,https://www.buildyourhome.be/fr/artisan/chassis-home-services/BE0828516491
Pascal Stilmant Menuiserie (Menuiserie Stilmant Pascal SRL),Pascal Stilmant,info@menuiseriestilmant.be,Michamps – Bastogne,Luxembourg,menuiseriestilmant.be,061 41 38 84,n.a. (familiale),"Fab.+pose châssis PVC (Deceuninck) et alu (Aluk), vérandas, pergolas",2007,tiède,http://menuiseriestilmant.be/
Menuiserie Maquet (SRL),Nicolas Maquet,info@menuiserie-maquet.be,Recogne – Libramont-Chevigny,Luxembourg,menuiserie-maquet.be,061 22 27 46,n.a.,"Fabricant châssis bois sur mesure, bois/alu, ossature bois, bardage",1942,tiède,https://www.menuiserie-maquet.be/notre-histoire/
Menuiserie Dasnois,n.a. (famille Dasnois),ddasnois@skynet.be,Auby-sur-Semois – Bertrix,Luxembourg,menuiseriedasnois.be,061 41 37 82,n.a. (familiale),"Châssis bois/PVC/alu belges, portes ext., portes de garage, vérandas",n.a. (+40 ans),tiède,https://menuiseriedasnois.be/contact/
Menuiserie Poncin SRL,Florent Poncin,info@poncin-menuiserie.com,Latour – Virton,Luxembourg,poncin-menuiserie.com,+32 63 58 20 26,n.a.,"Châssis bois, PVC, alu (Aliplast, Rehau, Ehret), bardages",n.a. (+30 ans),tiède,https://poncin-menuiserie.com/fr/contact
AK Menuiserie,n.a. (indépendant),info@akmenuiserie.be,Virton,Luxembourg,akmenuiserie.be,0489 81 31 74,1–2,"Pose châssis PVC/bois/alu, portes d'entrée et de garage, bardages",n.a.,tiède,https://www.akmenuiserie.be/fr/contact
CHASSIS G. HANIN (SA),Denis Rutot,hanin@hanin.be,Marche-en-Famenne,Luxembourg,hanin.be,084 32 71 71,10 employés,"Châssis PVC, alu, acier; vérandas; miroiterie",1992,tiède,https://www.marche.be/economie/bottin/fiche/chassis-g-hanin/
MENUISERIE FREDERIC ROLLAND SRL,Frédéric Rolland,info@menuiserierolland.be,Aye – Marche-en-Famenne,Luxembourg,n.a.,0476 64 02 72,n.a. (TPE),"Menuiserie générale, châssis, portes de garage, volets, vérandas",n.a.,tiède,https://bottin.marche.be/fiche/menuiserie-frederic-rolland-srl
Menuiserie BECHOUX (SPRL),n.a.,info@menuiseriebechoux.be,Provedroux/Bihain – Vielsalm,Luxembourg,menuiseriebechoux.be,080 39 81 71,1 employé,"Menuiserie extérieure alu/bois/PVC, châssis, fenêtres de toit",2007,tiède,https://byh-uat.embuild.be/fr/artisan/menuiserie-bechoux/BE0894309316
Entreprise et Toiture Lesuisse (Vincent Lesuisse),Vincent Lesuisse,info@vincent-lesuisse.be,Vecmont – La Roche-en-Ardenne,Luxembourg,vincent-lesuisse.be,084 22 32 97,n.a. (artisan),"Vente et pose châssis bois/PVC/alu (Schüco, Aliplast), toiture, bardages",n.a.,tiède,https://vincent-lesuisse.be/
Kavalux,n.a.,kavalux@skynet.be,Thiaumont – Attert (zone Arlon),Luxembourg,kavalux.be,063 23 38 04,n.a.,"Menuiserie extérieure: châssis, portes de garage, volets, pergolas, vérandas",2000,tiède,https://www.kavalux.be/
Châssis Confort,n.a.,n.a.,Durbuy,Luxembourg,confort-chassis.be,086 85 03 99,n.a.,"Fabrication et pose châssis alu/bois/PVC, double et triple vitrage, volets",n.a.,à vérifier,https://www.confort-chassis.be/contact
Esprit Châssis,n.a.,n.a.,Tintigny (zone Arlon/Neufchâteau),Luxembourg,espritchassis.be,063 86 60 39,n.a. (TPE),"Pose châssis alu et PVC, vérandas, pergolas, portes de garage, volets",n.a.,à vérifier,https://www.espritchassis.be/
Sart Services,"Sébastien, Cédrick, Fabian (gérants)",fabian@sartservices.be,Sart-Dames-Avelines (Villers-la-Ville),Brabant wallon,sartservices.be,0472 71 00 33,~6 personnes,"Châssis, fenêtres, portes, baies vitrées, vérandas, pergolas, volets — PVC/alu/bois",n.a. (25 ans),chaud,https://www.sartservices.be/entreprise-installation-chassis-fenetres-portes
Roosens Habitat,Raphaël Roosens; Daniel Roosens,info@roosens-habitat.be,Tubize,Brabant wallon,roosens-habitat.be,02 355 35 20,TPE familiale,"Châssis PVC Kömmerling, bois Riche, alu Aliplast, portes, volets",n.a. (40 ans),tiède,https://www.roosens-habitat.be/
Waroquet - Lengrand s.p.r.l.,n.a.,info@waroquet.be,Braine-l'Alleud,Brabant wallon,waroquet.be,02 384 20 64,PME familiale,"Fabrication atelier + pose châssis, vérandas, pergolas alu",n.a. (90 ans),tiède,https://www.waroquet.be/contact
VGB Menuiserie,n.a.,contact@menuiservegb.be,Braine-l'Alleud,Brabant wallon,menuiserievgb.be,+32 470 11 54 17,TPE,"Pose portes/châssis, volets, moustiquaires, réparation, sécurisation",n.a. (+10 ans),tiède,https://www.menuiserievgb.be/
Châssis Galle,n.a. (famille Galle),info@chassisgalle.be,Perwez,Brabant wallon,chassisgalle.be,081/65 80 30,PME familiale,"Fabrication + pose châssis PVC Schüco et alu Reynaers, portes, volets",1990,tiède,https://www.chassisgalle.be/a-propos/
Wood Side Story SRL,n.a.,info@woodsidestory.be,Wavre,Brabant wallon,woodsidestory.be,010/24.24.02,Atelier artisanal,"Fabrication + pose menuiseries extérieures: châssis, portes d'entrée, bow-window; bois, alu, PVC",n.a.,tiède,https://www.woodsidestory.be/nous-contacter
Menuiserie Générale De Keuster et Fils (dkpe),n.a.,info@dkpe.be,Ottignies-Louvain-la-Neuve,Brabant wallon,dkpe.be,010 61 81 18,TPE familiale,"Châssis et portes extérieures sur mesure bois/PVC, portes de garage",n.a. (+24 ans),tiède,https://www.dkpe.be/chassis/
WEndows SRL,Thomas Stienlet,hello@wendows.be,Nivelles,Brabant wallon,wendows.be,067/21.04.02,TPE,"Pose/remplacement châssis et portes PVC, alu, bois (partenaire Profel)",n.a.,tiède,https://www.profel.com/fr-be/profel-expert/wendows-srl
Menuiserie Richard,n.a.,menuiserie.richard@skynet.be,Jodoigne,Brabant wallon,menuiserie-richard.be,0495 63 79 03,TPE artisanale,Fabrication + pose châssis et portes bois/PVC,n.a. (40 ans),tiède,https://menuiserie-richard.be/index.php/fiche-de-contact
MessaR'ealise,n.a.,info@messa-realise.be,Wavre,Brabant wallon,messa-realise.be,0486 73 51 24,TPE,Châssis et pergolas (entreprise construction/rénovation),n.a. (+10 ans),tiède,https://www.messa-realise.be/contact
Top Finitions,Olivier Guerreiro,n.a.,Sart-Dames-Avelines (Villers-la-Ville),Brabant wallon,topfinitions.net,071 87 97 00,TPE,"Fenêtres/châssis PVC, bois, alu; agréée CSTC",n.a.,à vérifier,https://www.topfinitions.net/
Menuiserie Vannieuwkerke,Pierre Vannieuwkerke,n.a.,Sart-Dames-Avelines (Villers-la-Ville),Brabant wallon,menuiserie-vannieuwkerke.be,0477 81 31 27,Artisan,Châssis bois sur mesure + pose,n.a.,à vérifier,https://www.menuiserie-vannieuwkerke.be/chassis.php
AAS CHASSIS (SRL),Anna Czarnocka,info@aaschassis.be,Forest,Bruxelles-Capitale,aaschassis.be,02 733 82 41,1–4,PVC/alu/bois,2011,tiède,https://aaschassis.be/fr/contact/
Bo Châssis,"Eric Maveau, Alexandre Delescaut",info@bochassis.be,Uccle,Bruxelles-Capitale,bochassis.be,02 346 01 51,TPE,bois/alu/PVC,n.a.,tiède,https://bochassis.be/contact/
Win Master,n.a.,info@winmaster.be,Schaerbeek,Bruxelles-Capitale,winmaster.be,02 216 70 21,TPE,châssis/portes/volets/vérandas,n.a.,tiède,https://www.winmaster.be/contact
Wood Window (SRL),"Raphaël Verpaele, Alexandre Verpaele",info@woodwindow.be,Watermael-Boitsfort,Bruxelles-Capitale,woodwindow.be,0475 36 36 82,5–9,"châssis, portes, portes de garage, volets",2012,tiède,https://woodwindow.be/
Batirod (S.W. ROBERT SRL),Robert Skowronski,info@batirod.com,Bruxelles-Ville/Haren,Bruxelles-Capitale,batirod.com,n.a.,1–4,châssis PVC/alu/bois,2004,tiède,https://batirod.com/mentions-legales/
Andrex,n.a.,info@chassisandrex.be,Etterbeek,Bruxelles-Capitale,andrex-chassis.be,02 644 48 40,TPE,PVC/alu/bois,n.a.,tiède,https://www.andrex-chassis.be/contact
ISOWIN (SRL),Alper Bozkir,n.a.,Laeken/Bruxelles,Bruxelles-Capitale,isowin.be,n.a.,1–4,fabrication châssis/portes/volets,2001,à vérifier,https://www.isowin.be/contact
CHASSIS CONFORT AMA - C.C.A. (SRL),Mohamed & Abdelhafid Amaadachou,n.a.,Forest,Bruxelles-Capitale,chassis-confort.be,02 539 07 60,1–4,"PVC Deceuninck, alu Reynaers, bois, vérandas",2007,à vérifier,https://www.pagesdor.be/entreprise/Forest/L11187434/CHASSIS+CONFORT+AMA+-+C.C.A./
Élite Châssis,Anas (nom complet n.a.),n.a.,Anderlecht,Bruxelles-Capitale,elitechassis.be,0483 36 13 35,TPE,PVC/alu/bois/acier,n.a.,à vérifier,https://elitechassis.be/contact/
Châssis André,n.a.,n.a.,Molenbeek-Saint-Jean,Bruxelles-Capitale,chassis-andre-bruxelles.be,02 324 82 92,TPE,PVC/bois/alu,n.a.,à vérifier,https://www.entreprises-construction-bruxelles.be/entreprise-chassis-bruxelles.htm
NIKAL CHASSIS (SRL),Iyadh Babaï,info@nikalchassis.be,Berchem-Sainte-Agathe,Bruxelles-Capitale,nikalchassis.be,02 265 10 82,5–9,châssis/portes/volets,2017,tiède,https://nikalchassis.be/contact/
FABIMA (SA),n.a.,info@fabima.be,Schaerbeek,Bruxelles-Capitale,fabima.be,02 242 79 64,à vérifier (>15 ?),menuiserie ext. alu/bois/PVC,1968,à vérifier,https://byh-uat.embuild.be/fr/artisan/fabima/BE0402037086
B-LUX CHASSIS (SRL),Thomas Franckinioulle,info@chassisblux.be,Mettet (Oret),Namur,chassisblux.be,0498/10 33 57,~10 employés,"Menuiseries extérieures: châssis, portes, protections solaires (mixte)",2002,chaud,https://www.chassisblux.be/
L'ATELIER DE LA FENETRE (SRL),François Gathy,info@atelierdelafenetre.be,Beauraing (Pondrôme),Namur,atelierdelafenetre.be,+32 82 64 68 61,"10-19 employés (à vérifier, proche limite 15)","Châssis bois/PVC/alu, portes, volets, pergolas, vérandas; pose",2001,chaud,https://www.atelierdelafenetre.be/contact/
FAMENNE-ARDENNE CHASSIS (SRL),"Jean Pierard, Tanguy Pierard, Nadine Yernaux",contact@fac-sprl.be,Beauraing,Namur,famenne-ardenne-chassis.be,+32 82 71 35 52,TPE (≈1-5),"Portes, fenêtres, coulissants PVC-bois-alu, portes de garage, volets; fab. belge + pose",2010 (activité depuis 2003),chaud,https://famenne-ardenne-chassis.be/
Menuiserie des Fagnes - Thomas,Michaël Thomas,menuiseriedesfagnes@skynet.be,Couvin (showroom Mariembourg),Namur,menuiseriedesfagnes.be,0475 75 97 39,1-4 employés,"Châssis et tentes solaires, portes, carports, bardages bois",2007 (site: depuis 1989),tiède,https://www.menuiseriedesfagnes.be/contact.php
"Pierre, Michel (Menuiserie Pierre Michel Artisan)",Michel Pierre,info@menuiseriepierre.be,Éghezée,Namur,menuiseriepierre.be,081 51 39 62,1-2 (indépendant),"Châssis bois sur mesure + PVC (Gealan), portes extérieures",2001,tiède,https://www.menuiseriepierre.be/fr/menuisier
FRAME (Fabrication et Réalisation Artisanales de Menuiseries Extérieures SA),Laurence Delmot,"n.a. (seule adresse publique = gmail, exclue par consigne RGPD)",Éghezée (Upigny),Namur,frame-chassis.be,081 51 28 38,n.a. (employeur ONSS depuis 1993),"Fabrication + pose menuiseries extérieures PVC; châssis, portes, pergolas, vérandas, volets",1993,à vérifier,https://www.frame-chassis.be/
SOMIVANE SA,Julien Massin (administrateur),info@somivane.be,Milmort (Herstal),Liège,somivane.be,+32 4 278 90 77,"11,6 ETP","Fabricant PVC (atelier propre) + alu; châssis, portes, volets, portes de garage, pose",1974,chaud,https://www.somivane.be/contact/
MERY CHASSIS SA,"Guillaume Detollenaere; Adrien Detollenaere, Catherine Van de Merckt",info@merychassis.be,Esneux,Liège,merychassis.be,04 388 25 54,"11,5 ETP (équipe de 13)","PVC fabriqué en atelier, bois, alu; vérandas, portes de garage, screens",2006,chaud,https://merychassis.be/contact
ANDRÉ WARNIER-PAQUE SRL,n.a.,info@warniersprl.com,Othée (Awans),Liège,warnierpaquesrl.be,04 257 45 63,"5,9 ETP","Fabrication ET pose menuiseries extérieures ALU/PVC, volets, protections solaires; revendeur Reynaers",1984,chaud,https://www.warnierpaquesrl.be/
GÉRÉGRI SRL,Marc Gérard et Olivier Grimont,info@geregri.be,Mons-lez-Liège (Flémalle),Liège,geregri.be,0499 46 60 19,TPE (2 associés),"Fourniture + pose châssis PVC/alu/bois, portes extérieures, portes de garage, volets",2014 (site: 2015),chaud,https://www.geregri.be/
MENUISERIE JP CLOESEN,Jean-Pierre Cloesen,"n.a. (seule adresse publique = outlook, exclue par consigne RGPD)",Hognoul (Awans),Liège,menuiserie-jpcloesen.be,0486 96 11 44,1-3 personnes,"Châssis ALU/PVC/bois, volets, screens, portes de garage, vérandas, pergolas",2011,à vérifier,https://www.menuiserie-jpcloesen.be/chassis
MENUISERIE LUIGI SA,Luigi Lorenzoni,mluigi@skynet.be,Saint-Séverin (Nandrin),Liège,menuiserie-luigi.be,04 371 41 03,4 ouvriers + gérant,"Châssis PVC et bois, aménagement extérieur, ébénisterie",n.a. (~20 ans),tiède,https://www.menuiserie-luigi.be/fr/menuiserie-luigi
TIP TOP CHÂSSIS SPRL,n.a. (enseigne Père & Fils),"n.a. (seule adresse publique = hotmail, exclue par consigne RGPD)",Velroux (Grâce-Hollogne),Liège,tiptopchassis.be,04 378 54 09,TPE familiale (+35 ans de métier),"Pose et réparation châssis bois/PVC/alu, volets motorisés, portes de garage, pergolas",2012,à vérifier,https://www.tiptopchassis.be/contact
VALENCY GROUP SRL (Châssis Valency),Cyril Valentini,cyril@chassisvalency.be,Frameries,Hainaut,chassisvalency.be,0496/98.92.14,"TPE, employeur depuis 10/2025 (~1-5)","Châssis PVC & alu, portes d'entrée, fenêtres, volets, portes de garage",2023,chaud,https://www.chassisvalency.be/
MENUISERIE MARTIN MICHEL SA (Menuiserie Martin),Michel Martin; Ludovic Martin,info@martin-menuiserie.be,Colfontaine (Wasmes),Hainaut,martin-menuiserie.be,+32 65 777 693,5-9 salariés,"Bois, PVC, alu — châssis, portes, volets, protections solaires (pose)",1996 (activité depuis 1956),chaud,https://www.martin-menuiserie.be/mentions-legales/
MENUISERIE SIEBERT SRL,Philippe Siebert; Guillaume Siebert,info@menuiserie-siebert.be,Frameries,Hainaut,menuiserie-siebert.be,065 78 78 60,1-4 salariés,"Châssis/portes alu, bois, PVC; vérandas, volets — sur mesure + pose",2003 (depuis 1994),chaud,https://menuiserie-siebert.be/
"VANDERHAEGHEN, PASCAL (Menuiserie Pascal Vanderhaeghen)",Pascal Vanderhaeghen,info@menuiserie-pvdh.be,Pipaix / Leuze-en-Hainaut,Hainaut,menuiserie-pvdh.be,+32 477 92 98 73,Artisan indépendant,"Portes, fenêtres, portes de garage, volets — fabrication atelier + pose",1998,tiède,https://www.menuiserie-pvdh.be/contact.html
